
2024-10-04T17:32:11.539Z, 00:00:12, Temperature: 81.62°F, Cat state: Sleepy Time
2024-10-04T17:32:13.535Z, 00:00:14, Temperature: 81.01°F, Cat state: Sleepy Time
2024-10-04T17:32:15.535Z, 00:00:16, Temperature: 81.57°F, Cat state: Sleepy Time
2024-10-04T17:32:17.536Z, 00:00:18, Temperature: 80.51°F, Cat state: Sleepy Time
2024-10-04T17:32:19.535Z, 00:00:20, Temperature: 81.15°F, Cat state: Sleepy Time
2024-10-04T17:32:21.534Z, 00:00:22, Temperature: 80.64°F, Cat state: Sleepy Time
2024-10-04T17:32:23.536Z, 00:00:24, Temperature: 81.29°F, Cat state: Sleepy Time
2024-10-04T17:32:23.539Z, 00:00:24, Temperature: 81.29°F, Cat state: Wander Time
2024-10-04T17:32:25.536Z, 00:00:26, Temperature: 80.97°F, Cat state: Wander Time
2024-10-04T17:32:25.539Z, 00:00:26, Temperature: 80.97°F, Cat state: Moonwalk Time
2024-10-04T17:32:27.535Z, 00:00:28, Temperature: 81.25°F, Cat state: Moonwalk Time
2024-10-04T17:32:27.539Z, 00:00:28, Temperature: 81.25°F, Cat state: Wander Time
2024-10-04T17:32:29.535Z, 00:00:30, Temperature: 80.60°F, Cat state: Wander Time
2024-10-04T17:32:29.539Z, 00:00:30, Temperature: 80.60°F, Cat state: Sleepy Time
2024-10-04T17:32:31.534Z, 00:00:32, Temperature: 80.09°F, Cat state: Sleepy Time
2024-10-04T17:32:33.535Z, 00:00:34, Temperature: 80.55°F, Cat state: Sleepy Time
2024-10-04T17:32:35.535Z, 00:00:36, Temperature: 81.01°F, Cat state: Sleepy Time
2024-10-04T17:32:37.534Z, 00:00:38, Temperature: 80.87°F, Cat state: Sleepy Time
2024-10-04T17:32:39.535Z, 00:00:40, Temperature: 81.06°F, Cat state: Sleepy Time
2024-10-04T17:32:41.535Z, 00:00:42, Temperature: 81.43°F, Cat state: Sleepy Time
2024-10-04T17:32:41.539Z, 00:00:42, Temperature: 81.43°F, Cat state: Wander Time
2024-10-04T17:32:43.535Z, 00:00:44, Temperature: 81.11°F, Cat state: Wander Time
2024-10-04T17:32:43.539Z, 00:00:44, Temperature: 81.11°F, Cat state: Sleepy Time
2024-10-04T17:32:45.535Z, 00:00:46, Temperature: 80.78°F, Cat state: Sleepy Time
2024-10-04T17:32:45.539Z, 00:00:46, Temperature: 80.78°F, Cat state: Wander Time
2024-10-04T17:32:47.535Z, 00:00:48, Temperature: 81.34°F, Cat state: Wander Time
2024-10-04T17:32:49.535Z, 00:00:50, Temperature: 81.62°F, Cat state: Wander Time
2024-10-04T17:32:51.535Z, 00:00:52, Temperature: 81.48°F, Cat state: Wander Time
2024-10-04T17:32:51.539Z, 00:00:52, Temperature: 81.48°F, Cat state: Moonwalk Time
2024-10-04T17:32:53.535Z, 00:00:54, Temperature: 81.15°F, Cat state: Moonwalk Time
2024-10-04T17:32:55.535Z, 00:00:56, Temperature: 81.15°F, Cat state: Moonwalk Time
2024-10-04T17:32:57.534Z, 00:00:58, Temperature: 81.52°F, Cat state: Moonwalk Time
2024-10-04T17:32:59.535Z, 00:01:00, Temperature: 80.83°F, Cat state: Moonwalk Time
2024-10-04T17:32:59.539Z, 00:01:00, Temperature: 80.83°F, Cat state: Wander Time
2024-10-04T17:33:01.534Z, 00:01:02, Temperature: 81.34°F, Cat state: Wander Time
2024-10-04T17:33:03.535Z, 00:01:04, Temperature: 80.87°F, Cat state: Wander Time
2024-10-04T17:33:05.535Z, 00:01:06, Temperature: 80.87°F, Cat state: Wander Time
2024-10-04T17:33:05.539Z, 00:01:06, Temperature: 80.87°F, Cat state: Sleepy Time
2024-10-04T17:33:07.534Z, 00:01:08, Temperature: 80.97°F, Cat state: Sleepy Time
2024-10-04T17:33:09.535Z, 00:01:10, Temperature: 80.87°F, Cat state: Sleepy Time
2024-10-04T17:33:11.534Z, 00:01:12, Temperature: 81.29°F, Cat state: Sleepy Time
2024-10-04T17:33:13.534Z, 00:01:14, Temperature: 80.78°F, Cat state: Sleepy Time
2024-10-04T17:33:15.534Z, 00:01:16, Temperature: 80.51°F, Cat state: Sleepy Time
2024-10-04T17:33:17.534Z, 00:01:18, Temperature: 80.14°F, Cat state: Sleepy Time
2024-10-04T17:33:19.535Z, 00:01:20, Temperature: 79.17°F, Cat state: Sleepy Time
2024-10-04T17:33:19.539Z, 00:01:20, Temperature: 79.17°F, Cat state: Moonwalk Time
2024-10-04T17:33:21.534Z, 00:01:22, Temperature: 79.26°F, Cat state: Moonwalk Time
2024-10-04T17:33:23.535Z, 00:01:24, Temperature: 77.30°F, Cat state: Moonwalk Time
2024-10-04T17:33:25.535Z, 00:01:26, Temperature: 77.43°F, Cat state: Moonwalk Time
2024-10-04T17:33:25.544Z, 00:01:26, Temperature: 77.43°F, Cat state: Wander Time
2024-10-04T17:33:27.534Z, 00:01:28, Temperature: 81.38°F, Cat state: Wander Time
2024-10-04T17:33:29.534Z, 00:01:30, Temperature: 80.09°F, Cat state: Wander Time
2024-10-04T17:33:31.534Z, 00:01:32, Temperature: 80.69°F, Cat state: Wander Time
2024-10-04T17:33:31.544Z, 00:01:32, Temperature: 80.69°F, Cat state: Sleepy Time
2024-10-04T17:33:33.534Z, 00:01:34, Temperature: 80.83°F, Cat state: Sleepy Time
2024-10-04T17:33:35.534Z, 00:01:36, Temperature: 81.15°F, Cat state: Sleepy Time
2024-10-04T17:33:37.534Z, 00:01:38, Temperature: 77.89°F, Cat state: Sleepy Time
2024-10-04T17:33:39.534Z, 00:01:40, Temperature: 81.06°F, Cat state: Sleepy Time
2024-10-04T17:33:41.534Z, 00:01:42, Temperature: 79.95°F, Cat state: Sleepy Time
2024-10-04T17:33:43.534Z, 00:01:44, Temperature: 77.98°F, Cat state: Sleepy Time
2024-10-04T17:33:45.534Z, 00:01:46, Temperature: 80.92°F, Cat state: Sleepy Time
2024-10-04T17:33:47.534Z, 00:01:48, Temperature: 80.41°F, Cat state: Sleepy Time
2024-10-04T17:33:49.534Z, 00:01:50, Temperature: 80.46°F, Cat state: Sleepy Time
2024-10-04T17:33:51.534Z, 00:01:52, Temperature: 80.27°F, Cat state: Sleepy Time
2024-10-04T17:33:53.534Z, 00:01:54, Temperature: 78.25°F, Cat state: Sleepy Time
2024-10-04T17:33:55.534Z, 00:01:56, Temperature: 80.64°F, Cat state: Sleepy Time
